Start coordinate search:
Starting position: (1, 1, 1) with performance: 28799 ms
Neighbor size: 6
Neighbor size: 8
tile size (t1, t2, t3): (1, 16, 1) with performance: 7442 ms
Neighbor size: 8
tile size (t1, t2, t3): (1, 64, 1) with performance: 6524 ms
Neighbor size: 8
tile size (t1, t2, t3): (1, 256, 1) with performance: 6056 ms
Neighbor size: 7
tile size (t1, t2, t3): (2, 256, 1) with performance: 5943 ms
Neighbor size: 8
tile size (t1, t2, t3): (2, 256, 2) with performance: 5836 ms
Neighbor size: 9
coordinate search took 566470 milliseconds to converge.
Best tile sizes: (2, 256, 2) with performance: 5836 ms
Start exhaustive search:
32 32 2 6375
32 32 4 6346
32 32 8 6241
32 32 16 6272
32 32 32 6309
32 32 64 6266
32 32 128 6358
32 32 256 6461
32 32 512 6435
32 64 1 6724
32 64 2 6185
32 64 4 6265
32 64 8 6192
32 64 16 6042
32 64 32 6062
32 64 64 6096
32 64 128 6157
32 64 256 6194
32 64 512 6318
32 128 1 6369
32 128 2 6174
32 128 4 6044
32 128 8 6063
32 128 16 5977
32 128 32 5939
32 128 64 6048
32 128 128 6124
32 128 256 6165
32 128 512 6305
32 256 1 6079
32 256 2 5808
32 256 4 5851
32 256 8 5876
32 256 16 5907
32 256 32 5959
32 256 64 5946
32 256 128 5981
32 256 256 6165
32 256 512 6252
32 512 1 5920
32 512 2 5960
32 512 4 5898
32 512 8 5951
32 512 16 6013
32 512 32 6030
32 512 64 6045
32 512 128 5969
32 512 256 6105
32 512 512 6216
64 1 1 23077
64 1 2 18012
64 1 4 15469
64 1 8 14193
64 1 16 13628
64 1 32 13284
64 1 64 13109
64 1 128 13022
64 1 256 12978
64 1 512 12965
64 2 1 12846
64 2 2 10689
64 2 4 9548
64 2 8 9332
64 2 16 9237
64 2 32 8894
64 2 64 8973
64 2 128 8858
64 2 256 8806
64 2 512 8974
64 4 1 9090
64 4 2 8323
64 4 4 7838
64 4 8 7815
64 4 16 7754
64 4 32 7669
64 4 64 7616
64 4 128 7441
64 4 256 7624
64 4 512 7747
64 8 1 7739
64 8 2 7318
64 8 4 7104
64 8 8 7203
64 8 16 7184
64 8 32 7129
64 8 64 7047
64 8 128 6925
64 8 256 7001
64 8 512 7062
64 16 1 7396
64 16 2 6857
64 16 4 6750
64 16 8 6670
64 16 16 6655
64 16 32 6621
64 16 64 6585
64 16 128 6717
64 16 256 6767
64 16 512 6774
64 32 1 6832
64 32 2 6333
64 32 4 6339
64 32 8 6396
64 32 16 6261
64 32 32 6214
64 32 64 6263
64 32 128 6354
64 32 256 6464
64 32 512 6537
64 64 1 6611
64 64 2 6158
64 64 4 6119
64 64 8 6099
64 64 16 6061
64 64 32 6074
64 64 64 6162
64 64 128 6168
64 64 256 6303
64 64 512 6397
64 128 1 6455
64 128 2 6159
64 128 4 6097
64 128 8 5949
64 128 16 6064
64 128 32 6056
64 128 64 6111
64 128 128 6133
64 128 256 6319
64 128 512 6335
64 256 1 5985
64 256 2 5844
64 256 4 5934
64 256 8 5912
64 256 16 5930
64 256 32 5903
64 256 64 6025
64 256 128 6086
64 256 256 6302
64 256 512 6288
64 512 1 6011
64 512 2 5929
64 512 4 5998
64 512 8 6088
64 512 16 6139
64 512 32 6037
64 512 64 6174
64 512 128 6148
64 512 256 6144
64 512 512 6246
128 1 1 23004
128 1 2 17969
128 1 4 15453
128 1 8 14187
128 1 16 13659
128 1 32 13304
128 1 64 13121
128 1 128 13027
128 1 256 12976
128 1 512 12964
128 2 1 12820
128 2 2 10451
128 2 4 9527
128 2 8 9633
128 2 16 9132
128 2 32 8941
128 2 64 8917
128 2 128 8964
128 2 256 8928
128 2 512 9021
128 4 1 9100
128 4 2 8410
128 4 4 7887
128 4 8 7868
128 4 16 7743
128 4 32 7759
128 4 64 7726
128 4 128 7747
128 4 256 7628
128 4 512 7591
128 8 1 7708
128 8 2 7326
128 8 4 7206
128 8 8 6942
128 8 16 6969
128 8 32 7146
128 8 64 7049
128 8 128 7116
128 8 256 7171
128 8 512 7170
128 16 1 7365
128 16 2 6849
128 16 4 6795
128 16 8 6742
128 16 16 6674
128 16 32 6556
128 16 64 6628
128 16 128 6702
128 16 256 6764
128 16 512 6860
128 32 1 6986
128 32 2 6396
128 32 4 6446
128 32 8 6326
128 32 16 6330
128 32 32 6227
128 32 64 6251
128 32 128 6391
128 32 256 6419
128 32 512 6514
128 64 1 6720
128 64 2 6142
128 64 4 6108
128 64 8 6098
128 64 16 6133
128 64 32 6089
128 64 64 6192
128 64 128 6287
128 64 256 6261
128 64 512 6335
128 128 1 6442
128 128 2 6052
128 128 4 6060
128 128 8 5995
128 128 16 6016
128 128 32 6052
128 128 64 6053
128 128 128 6277
128 128 256 6256
128 128 512 6385
128 256 1 5944
128 256 2 5890
128 256 4 5958
128 256 8 5972
128 256 16 5910
128 256 32 5904
128 256 64 6062
128 256 128 6127
128 256 256 6273
128 256 512 6272
128 512 1 5948
128 512 2 6007
128 512 4 5980
128 512 8 6090
128 512 16 6054
128 512 32 6147
128 512 64 6097
128 512 128 6169
128 512 256 6218
128 512 512 6256
256 1 1 23029
256 1 2 17980
256 1 4 15496
256 1 8 14208
256 1 16 13665
256 1 32 13313
256 1 64 13138
256 1 128 13034
256 1 256 12980
256 1 512 12965
256 2 1 12848
256 2 2 10638
256 2 4 9550
256 2 8 9494
256 2 16 9070
256 2 32 9101
256 2 64 8851
256 2 128 8966
256 2 256 8953
256 2 512 8972
256 4 1 9029
256 4 2 8332
256 4 4 7846
256 4 8 7898
256 4 16 7618
256 4 32 7698
256 4 64 7509
256 4 128 7625
256 4 256 7699
256 4 512 7678
256 8 1 7752
256 8 2 7403
256 8 4 7269
256 8 8 7247
256 8 16 7021
256 8 32 7051
256 8 64 7092
256 8 128 7126
256 8 256 7186
256 8 512 7008
256 16 1 7346
256 16 2 6792
256 16 4 6744
256 16 8 6791
256 16 16 6761
256 16 32 6573
256 16 64 6622
256 16 128 6660
256 16 256 6782
256 16 512 6798
256 32 1 6871
256 32 2 6329
256 32 4 6403
256 32 8 6339
256 32 16 6213
256 32 32 6276
256 32 64 6311
256 32 128 6337
256 32 256 6411
256 32 512 6533
256 64 1 6706
256 64 2 6111
256 64 4 6154
256 64 8 6086
256 64 16 6155
256 64 32 6032
256 64 64 6119
256 64 128 6160
256 64 256 6251
