Mon Oct 28 03:21:57 AM EDT 2024
Execution time of cholesky_naive: 2233.14 ms
Execution time of cholesky_tiled: 1818.52 ms
Outputs of cholesky_naive and cholesky_tiled are the same.
Execution time of cholesky_naive: 2185.75 ms
Execution time of cholesky_pluto (32,32,32,32): 1790 ms
Starting position: (1, 1, 1, 1) with performance: 1827 ms
Neighbor size: 4
Neighbor size: 5
Coordinate Descent completed in 22352.8 ms
Best tile sizes from Coordinate Descent: t2=1, t3=1, t4=1, t5=2
Best performance from Coordinate Descent: 1766 ms
Starting Exhaustive Search...
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 64, 1): 1833 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 64, 2): 1732 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 64, 4): 1820 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 64, 8): 1810 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 64, 16): 1777 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 64, 32): 1784 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 64, 64): 1788 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 64, 128): 1837 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 64, 256): 1836 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 128, 1): 1780 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 128, 2): 1749 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 128, 4): 1767 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 128, 8): 1766 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 128, 16): 1798 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 128, 32): 1728 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 128, 64): 1825 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 128, 128): 1888 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 128, 256): 1749 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 256, 1): 1798 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 256, 2): 1805 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 256, 4): 1687 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 256, 8): 1772 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 256, 16): 1800 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 256, 32): 1810 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 256, 64): 1798 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 256, 128): 1753 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 256, 256): 1840 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 1, 1): 1789 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 4, 1, 2): 1802 ms
