Start coordinate search:
Starting position: (1, 1, 1) with performance: 5743 ms
Neighbor size: 6
Neighbor size: 8
tile size (t1, t2, t3): (4, 4, 1) with performance: 1213 ms
Neighbor size: 10
tile size (t1, t2, t3): (4, 16, 1) with performance: 474 ms
Neighbor size: 10
tile size (t1, t2, t3): (4, 64, 1) with performance: 391 ms
Neighbor size: 10
tile size (t1, t2, t3): (16, 64, 1) with performance: 372 ms
Neighbor size: 10
tile size (t1, t2, t3): (64, 64, 1) with performance: 368 ms
Neighbor size: 10
tile size (t1, t2, t3): (64, 256, 1) with performance: 363 ms
Neighbor size: 9
tile size (t1, t2, t3): (64, 512, 1) with performance: 361 ms
Neighbor size: 8
coordinate search took 102679 milliseconds to converge.
Best tile sizes: (64, 512, 1) with performance: 361 ms
Start exhaustive search:
128 256 1 363
128 256 2 364
128 256 4 362
128 256 8 363
128 256 16 363
128 256 32 362
128 256 64 362
128 256 128 362
128 256 256 362
128 256 512 362
128 512 1 361
128 512 2 362
128 512 4 361
128 512 8 362
128 512 16 361
128 512 32 361
128 512 64 361
128 512 128 361
128 512 256 361
128 512 512 362
256 1 1 2599
256 1 2 1993
256 1 4 1784
256 1 8 1933
256 1 16 2331
256 1 32 3045
256 1 64 3775
256 1 128 4501
256 1 256 4833
256 1 512 5008
256 2 1 1717
256 2 2 1581
256 2 4 1380
256 2 8 1395
256 2 16 1647
256 2 32 1849
256 2 64 2278
256 2 128 2448
256 2 256 2517
256 2 512 2556
256 4 1 1152
256 4 2 1137
256 4 4 1410
256 4 8 1841
256 4 16 1948
256 4 32 2504
256 4 64 2866
256 4 128 3056
256 4 256 3140
256 4 512 3180
256 8 1 504
256 8 2 513
256 8 4 514
256 8 8 642
256 8 16 719
256 8 32 877
256 8 64 984
256 8 128 1048
256 8 256 1071
256 8 512 1085
256 16 1 427
256 16 2 408
256 16 4 412
256 16 8 437
256 16 16 491
256 16 32 525
256 16 64 542
256 16 128 555
256 16 256 557
256 16 512 559
256 32 1 383
256 32 2 382
256 32 4 373
256 32 8 374
256 32 16 375
256 32 32 377
256 32 64 380
256 32 128 380
256 32 256 381
256 32 512 381
256 64 1 367
256 64 2 367
256 64 4 366
256 64 8 365
256 64 16 365
256 64 32 367
256 64 64 366
256 64 128 367
256 64 256 366
256 64 512 366
256 128 1 364
256 128 2 367
256 128 4 363
256 128 8 363
256 128 16 365
256 128 32 364
256 128 64 364
256 128 128 364
256 128 256 364
256 128 512 363
256 256 1 362
256 256 2 364
256 256 4 361
256 256 8 363
256 256 16 363
256 256 32 362
256 256 64 362
256 256 128 362
256 256 256 362
256 256 512 362
256 512 1 361
256 512 2 362
256 512 4 361
256 512 8 361
256 512 16 361
256 512 32 361
256 512 64 361
256 512 128 361
256 512 256 361
256 512 512 363
512 1 1 3211
512 1 2 2443
512 1 4 1799
512 1 8 1942
512 1 16 2335
512 1 32 3049
512 1 64 3780
512 1 128 4507
512 1 256 4839
512 1 512 5020
512 2 1 1974
