Start coordinate search:
Starting position: (1, 1, 1) with performance: 5744 ms
Neighbor size: 6
Neighbor size: 8
tile size (t1, t2, t3): (4, 4, 1) with performance: 1230 ms
Neighbor size: 10
tile size (t1, t2, t3): (4, 16, 1) with performance: 486 ms
Neighbor size: 10
tile size (t1, t2, t3): (4, 64, 1) with performance: 395 ms
Neighbor size: 10
tile size (t1, t2, t3): (16, 64, 1) with performance: 372 ms
Neighbor size: 10
tile size (t1, t2, t3): (16, 256, 1) with performance: 369 ms
Neighbor size: 9
tile size (t1, t2, t3): (64, 256, 1) with performance: 364 ms
Neighbor size: 9
tile size (t1, t2, t3): (64, 512, 1) with performance: 362 ms
Neighbor size: 8
coordinate search took 102908 milliseconds to converge.
Best tile sizes: (64, 512, 1) with performance: 362 ms
Start exhaustive search:
16 4 2 1121
16 4 4 1384
16 4 8 1813
16 4 16 1924
16 4 32 2515
16 4 64 2873
16 4 128 3060
16 4 256 3148
16 4 512 3191
16 8 1 533
16 8 2 503
16 8 4 523
16 8 8 644
16 8 16 720
16 8 32 880
16 8 64 987
16 8 128 1050
16 8 256 1074
16 8 512 1086
16 16 1 401
16 16 2 422
16 16 4 411
16 16 8 440
16 16 16 503
16 16 32 540
16 16 64 559
16 16 128 572
16 16 256 574
16 16 512 571
16 32 1 387
16 32 2 385
16 32 4 376
16 32 8 378
16 32 16 380
16 32 32 381
16 32 64 385
16 32 128 384
16 32 256 383
16 32 512 383
16 64 1 371
16 64 2 374
16 64 4 372
16 64 8 371
16 64 16 371
16 64 32 372
16 64 64 370
16 64 128 370
16 64 256 370
16 64 512 370
16 128 1 370
16 128 2 368
16 128 4 367
16 128 8 367
16 128 16 368
16 128 32 368
16 128 64 367
16 128 128 366
16 128 256 365
16 128 512 365
16 256 1 369
16 256 2 367
16 256 4 366
16 256 8 367
16 256 16 367
16 256 32 366
16 256 64 366
16 256 128 366
16 256 256 366
16 256 512 366
16 512 1 365
16 512 2 364
16 512 4 364
16 512 8 365
16 512 16 365
16 512 32 364
16 512 64 364
16 512 128 365
16 512 256 364
16 512 512 367
32 1 1 2421
32 1 2 1901
32 1 4 1645
32 1 8 1843
32 1 16 2278
32 1 32 3007
32 1 64 3790
32 1 128 4509
32 1 256 4841
32 1 512 5013
32 2 1 1502
32 2 2 1610
32 2 4 1402
32 2 8 1321
32 2 16 1602
32 2 32 1835
32 2 64 2278
32 2 128 2446
32 2 256 2518
32 2 512 2556
32 4 1 1095
32 4 2 1123
32 4 4 1355
32 4 8 1796
32 4 16 1920
32 4 32 2510
32 4 64 2871
32 4 128 3060
32 4 256 3148
32 4 512 3191
32 8 1 501
32 8 2 477
32 8 4 504
32 8 8 630
32 8 16 713
32 8 32 876
32 8 64 986
32 8 128 1050
32 8 256 1074
32 8 512 1086
32 16 1 396
32 16 2 407
32 16 4 398
32 16 8 427
32 16 16 495
32 16 32 532
32 16 64 551
32 16 128 563
32 16 256 566
32 16 512 565
32 32 1 384
32 32 2 386
32 32 4 374
32 32 8 376
32 32 16 378
32 32 32 379
32 32 64 382
32 32 128 381
32 32 256 382
32 32 512 382
32 64 1 371
32 64 2 370
32 64 4 369
32 64 8 368
32 64 16 368
32 64 32 370
32 64 64 368
32 64 128 368
32 64 256 368
32 64 512 368
32 128 1 367
32 128 2 366
32 128 4 365
32 128 8 365
32 128 16 366
32 128 32 366
32 128 64 366
32 128 128 365
32 128 256 365
32 128 512 364
32 256 1 366
32 256 2 365
32 256 4 364
32 256 8 365
32 256 16 365
32 256 32 365
32 256 64 364
32 256 128 364
32 256 256 364
32 256 512 364
32 512 1 363
32 512 2 363
32 512 4 363
32 512 8 363
32 512 16 363
32 512 32 363
32 512 64 363
32 512 128 363
32 512 256 363
32 512 512 364
64 1 1 2645
64 1 2 1961
64 1 4 1661
64 1 8 1832
64 1 16 2292
64 1 32 3023
64 1 64 3805
64 1 128 4514
64 1 256 4842
64 1 512 5013
64 2 1 1651
64 2 2 1569
64 2 4 1388
64 2 8 1362
64 2 16 1618
64 2 32 1843
64 2 64 2280
64 2 128 2447
64 2 256 2517
64 2 512 2555
64 4 1 1173
64 4 2 1112
64 4 4 1352
64 4 8 1797
64 4 16 1929
64 4 32 2511
64 4 64 2875
64 4 128 3061
64 4 256 3147
64 4 512 3191
64 8 1 497
64 8 2 484
64 8 4 495
64 8 8 630
64 8 16 716
64 8 32 877
64 8 64 986
64 8 128 1049
64 8 256 1073
64 8 512 1086
64 16 1 399
64 16 2 405
64 16 4 395
64 16 8 431
64 16 16 495
64 16 32 529
64 16 64 547
64 16 128 560
64 16 256 562
64 16 512 562
64 32 1 386
64 32 2 384
64 32 4 373
64 32 8 375
64 32 16 377
64 32 32 379
64 32 64 381
64 32 128 381
64 32 256 382
64 32 512 382
64 64 1 369
64 64 2 368
64 64 4 367
64 64 8 367
64 64 16 367
64 64 32 369
64 64 64 367
64 64 128 368
64 64 256 368
64 64 512 367
64 128 1 366
64 128 2 366
64 128 4 365
64 128 8 364
64 128 16 366
64 128 32 365
64 128 64 365
64 128 128 365
64 128 256 364
64 128 512 364
64 256 1 364
64 256 2 364
64 256 4 363
64 256 8 365
64 256 16 364
64 256 32 364
64 256 64 363
64 256 128 363
64 256 256 363
64 256 512 363
64 512 1 362
64 512 2 362
64 512 4 362
64 512 8 363
64 512 16 363
64 512 32 362
64 512 64 362
64 512 128 362
64 512 256 362
64 512 512 364
128 1 1 2609
128 1 2 1980
128 1 4 1692
128 1 8 1858
128 1 16 2310
128 1 32 3035
128 1 64 3818
128 1 128 4514
128 1 256 4841
128 1 512 5012
128 2 1 1677
128 2 2 1575
128 2 4 1379
128 2 8 1385
128 2 16 1621
128 2 32 1844
128 2 64 2281
128 2 128 2447
128 2 256 2518
128 2 512 2557
128 4 1 1156
128 4 2 1108
128 4 4 1352
128 4 8 1809
128 4 16 1942
128 4 32 2511
128 4 64 2875
128 4 128 3061
128 4 256 3148
128 4 512 3191
128 8 1 498
128 8 2 478
128 8 4 499
128 8 8 637
128 8 16 720
128 8 32 879
128 8 64 986
128 8 128 1050
128 8 256 1073
128 8 512 1086
128 16 1 403
128 16 2 401
128 16 4 408
128 16 8 436
128 16 16 493
128 16 32 527
128 16 64 545
128 16 128 557
128 16 256 559
128 16 512 561
128 32 1 383
128 32 2 381
128 32 4 374
128 32 8 375
128 32 16 376
128 32 32 378
128 32 64 381
128 32 128 381
128 32 256 382
128 32 512 382
128 64 1 368
128 64 2 368
128 64 4 367
128 64 8 366
128 64 16 366
128 64 32 368
128 64 64 367
128 64 128 367
128 64 256 367
128 64 512 367
128 128 1 365
128 128 2 366
128 128 4 364
128 128 8 364
128 128 16 366
128 128 32 365
128 128 64 365
128 128 128 365
128 128 256 364
128 128 512 364
128 256 1 363
128 256 2 365
128 256 4 362
128 256 8 364
128 256 16 364
128 256 32 363
128 256 64 363
128 256 128 363
128 256 256 363
128 256 512 363
128 512 1 362
128 512 2 363
128 512 4 362
128 512 8 362
128 512 16 362
128 512 32 362
128 512 64 362
128 512 128 362
128 512 256 362
128 512 512 363
256 1 1 2622
256 1 2 2003
256 1 4 1786
256 1 8 1913
256 1 16 2310
256 1 32 3036
256 1 64 3817
256 1 128 4513
256 1 256 4839
256 1 512 5011
256 2 1 1729
256 2 2 1599
256 2 4 1380
256 2 8 1345
256 2 16 1621
256 2 32 1844
256 2 64 2281
256 2 128 2447
256 2 256 2517
256 2 512 2557
256 4 1 1158
256 4 2 1130
256 4 4 1403
256 4 8 1837
256 4 16 1944
256 4 32 2509
256 4 64 2878
256 4 128 3061
256 4 256 3148
256 4 512 3191
256 8 1 508
256 8 2 509
256 8 4 516
256 8 8 645
256 8 16 721
256 8 32 879
256 8 64 986
256 8 128 1050
256 8 256 1073
256 8 512 1086
256 16 1 429
256 16 2 410
256 16 4 416
256 16 8 436
256 16 16 492
256 16 32 526
256 16 64 544
256 16 128 556
256 16 256 559
256 16 512 561
256 32 1 387
256 32 2 382
256 32 4 374
256 32 8 375
256 32 16 376
256 32 32 378
256 32 64 381
256 32 128 381
256 32 256 382
256 32 512 382
256 64 1 368
256 64 2 369
256 64 4 367
256 64 8 366
256 64 16 366
256 64 32 368
256 64 64 367
256 64 128 367
256 64 256 368
256 64 512 367
256 128 1 365
256 128 2 368
256 128 4 364
256 128 8 364
256 128 16 366
256 128 32 365
256 128 64 364
256 128 128 364
256 128 256 364
256 128 512 364
256 256 1 363
256 256 2 365
256 256 4 362
256 256 8 364
256 256 16 364
256 256 32 363
256 256 64 363
256 256 128 363
256 256 256 362
256 256 512 362
256 512 1 362
256 512 2 362
256 512 4 362
256 512 8 362
256 512 16 362
256 512 32 362
256 512 64 361
256 512 128 362
256 512 256 362
256 512 512 364
512 1 1 3198
512 1 2 2427
512 1 4 1783
512 1 8 1924
512 1 16 2315
512 1 32 3043
512 1 64 3821
512 1 128 4518
512 1 256 4844
512 1 512 5023
512 2 1 1964
512 2 2 1599
512 2 4 1415
512 2 8 1362
512 2 16 1624
512 2 32 1848
512 2 64 2284
512 2 128 2455
512 2 256 2528
512 2 512 2579
512 4 1 1317
512 4 2 1296
512 4 4 1407
512 4 8 1843
512 4 16 1946
512 4 32 2510
