Start coordinate search:
Starting position: (1, 1, 1) with performance: 5506 ms
Neighbor size: 6
Neighbor size: 8
tile size (t1, t2, t3): (1, 16, 1) with performance: 899 ms
Neighbor size: 8
tile size (t1, t2, t3): (4, 16, 1) with performance: 476 ms
Neighbor size: 10
tile size (t1, t2, t3): (4, 64, 1) with performance: 389 ms
Neighbor size: 10
tile size (t1, t2, t3): (16, 64, 1) with performance: 372 ms
Neighbor size: 10
tile size (t1, t2, t3): (16, 256, 1) with performance: 368 ms
Neighbor size: 9
tile size (t1, t2, t3): (64, 256, 1) with performance: 364 ms
Neighbor size: 9
tile size (t1, t2, t3): (64, 512, 1) with performance: 362 ms
Neighbor size: 8
coordinate search took 85489 milliseconds to converge.
Best tile sizes: (64, 512, 1) with performance: 362 ms
Start exhaustive search:
256 2 32 1829
256 2 64 2265
256 2 128 2442
256 2 256 2516
256 2 512 2559
256 4 1 994
256 4 2 1039
256 4 4 1445
256 4 8 1644
256 4 16 1733
256 4 32 1768
256 4 64 1783
256 4 128 1796
256 4 256 1801
256 4 512 1804
256 8 1 513
256 8 2 509
256 8 4 531
256 8 8 655
256 8 16 723
256 8 32 882
256 8 64 988
256 8 128 1050
256 8 256 1073
256 8 512 1087
256 16 1 430
256 16 2 411
256 16 4 420
256 16 8 438
256 16 16 494
256 16 32 528
256 16 64 545
256 16 128 558
256 16 256 561
256 16 512 563
256 32 1 390
256 32 2 384
256 32 4 375
256 32 8 376
256 32 16 377
256 32 32 378
256 32 64 381
256 32 128 381
256 32 256 382
256 32 512 381
256 64 1 368
256 64 2 369
256 64 4 367
256 64 8 366
256 64 16 366
256 64 32 368
256 64 64 367
256 64 128 367
256 64 256 367
256 64 512 367
256 128 1 365
256 128 2 368
256 128 4 364
256 128 8 364
256 128 16 367
256 128 32 365
256 128 64 365
256 128 128 365
256 128 256 365
256 128 512 364
256 256 1 363
256 256 2 365
256 256 4 363
256 256 8 364
256 256 16 364
256 256 32 363
256 256 64 363
256 256 128 363
256 256 256 363
256 256 512 363
256 512 1 362
256 512 2 363
256 512 4 362
256 512 8 363
256 512 16 362
256 512 32 362
