Start coordinate search:
Starting position: (1, 1, 1) with performance: 31783 ms
Neighbor size: 6
Neighbor size: 8
tile size (t1, t2, t3): (1, 16, 1) with performance: 7245 ms
Neighbor size: 8
tile size (t1, t2, t3): (1, 64, 1) with performance: 6025 ms
Neighbor size: 8
tile size (t1, t2, t3): (1, 64, 2) with performance: 5877 ms
Neighbor size: 9
tile size (t1, t2, t3): (1, 256, 2) with performance: 5710 ms
Neighbor size: 8
coordinate search took 548351 milliseconds to converge.
Best tile sizes: (1, 256, 2) with performance: 5710 ms
Start exhaustive search:
128 32 128 6120
128 32 256 6203
128 32 512 6122
128 64 1 6083
128 64 2 5916
128 64 4 5923
128 64 8 5880
128 64 16 5990
128 64 32 6034
128 64 64 5928
128 64 128 5921
128 64 256 5941
128 64 512 6042
128 128 1 6243
128 128 2 5962
128 128 4 5944
128 128 8 5897
128 128 16 5987
128 128 32 5950
128 128 64 5947
128 128 128 5931
128 128 256 5950
128 128 512 5980
128 256 1 5794
128 256 2 5770
128 256 4 5828
128 256 8 5809
128 256 16 5951
128 256 32 5812
128 256 64 5870
128 256 128 5896
128 256 256 5989
128 256 512 6016
128 512 1 5871
128 512 2 5649
128 512 4 5826
128 512 8 5963
128 512 16 5838
128 512 32 5995
128 512 64 5937
128 512 128 5981
128 512 256 5885
128 512 512 5982
256 1 1 22734
256 1 2 17947
256 1 4 15443
256 1 8 14192
256 1 16 13691
256 1 32 13336
256 1 64 13179
256 1 128 13070
256 1 256 13013
256 1 512 12992
256 2 1 12871
256 2 2 10464
256 2 4 9251
256 2 8 8985
256 2 16 8523
256 2 32 8477
256 2 64 8512
256 2 128 8334
256 2 256 8355
256 2 512 8359
256 4 1 8748
256 4 2 7768
256 4 4 7168
256 4 8 7103
256 4 16 6874
256 4 32 6899
256 4 64 6850
256 4 128 6889
256 4 256 6763
256 4 512 6883
256 8 1 7145
256 8 2 6753
256 8 4 6521
256 8 8 6425
256 8 16 6282
256 8 32 6321
256 8 64 6311
256 8 128 6328
256 8 256 6374
256 8 512 6352
256 16 1 6719
256 16 2 6649
256 16 4 6501
256 16 8 6414
256 16 16 6408
256 16 32 6533
256 16 64 6366
256 16 128 6413
256 16 256 6528
256 16 512 6435
256 32 1 6262
256 32 2 6065
256 32 4 6062
256 32 8 6085
256 32 16 6101
256 32 32 6212
256 32 64 6067
256 32 128 6096
256 32 256 6071
256 32 512 6099
256 64 1 5883
256 64 2 5812
256 64 4 5922
256 64 8 5842
256 64 16 5870
256 64 32 6043
256 64 64 6000
256 64 128 5973
256 64 256 5945
256 64 512 6109
256 128 1 5889
256 128 2 5772
256 128 4 5836
256 128 8 5722
256 128 16 5919
256 128 32 5797
256 128 64 5851
256 128 128 6022
256 128 256 5836
256 128 512 5961
256 256 1 5897
256 256 2 5709
256 256 4 5927
256 256 8 5835
256 256 16 5878
256 256 32 5876
256 256 64 5991
256 256 128 5903
256 256 256 5882
256 256 512 5966
256 512 1 5852
256 512 2 5746
256 512 4 5973
256 512 8 5760
256 512 16 6019
256 512 32 6034
256 512 64 6026
256 512 128 5991
256 512 256 6063
256 512 512 6087
512 1 1 22822
512 1 2 18024
512 1 4 15451
512 1 8 14200
512 1 16 13722
512 1 32 13361
512 1 64 13239
512 1 128 13094
512 1 256 13023
512 1 512 13002
512 2 1 12959
512 2 2 10529
512 2 4 9322
512 2 8 9208
512 2 16 8696
512 2 32 8525
512 2 64 8419
512 2 128 8446
512 2 256 8363
512 2 512 8466
512 4 1 8821
512 4 2 7744
512 4 4 7157
512 4 8 7118
512 4 16 6976
512 4 32 6887
512 4 64 6829
512 4 128 6769
512 4 256 6713
512 4 512 6747
512 8 1 7148
512 8 2 6820
512 8 4 6672
512 8 8 6469
512 8 16 6468
512 8 32 6320
512 8 64 6384
512 8 128 6307
512 8 256 6319
512 8 512 6291
512 16 1 6726
512 16 2 6740
512 16 4 6505
512 16 8 6450
512 16 16 6474
512 16 32 6462
512 16 64 6415
512 16 128 6408
512 16 256 6417
512 16 512 6410
512 32 1 6251
512 32 2 6079
512 32 4 6195
512 32 8 6106
512 32 16 6152
512 32 32 6165
512 32 64 6066
512 32 128 6077
512 32 256 6089
512 32 512 6199
512 64 1 5991
512 64 2 5951
512 64 4 5916
512 64 8 5925
512 64 16 6096
512 64 32 5956
512 64 64 5968
512 64 128 5961
512 64 256 5939
512 64 512 6101
512 128 1 5962
512 128 2 5760
512 128 4 5860
512 128 8 5931
512 128 16 5827
512 128 32 6025
512 128 64 5794
512 128 128 5874
512 128 256 5918
512 128 512 6029
512 256 1 5789
512 256 2 5765
512 256 4 5870
512 256 8 5822
512 256 16 5938
512 256 32 5995
512 256 64 5901
512 256 128 5975
512 256 256 5845
512 256 512 5963
512 512 1 5917
512 512 2 5709
512 512 4 5957
512 512 8 5983
512 512 16 5823
512 512 32 6013
512 512 64 6004
512 512 128 5982
512 512 256 5941
512 512 512 6041
exhaustive search took 7485650 milliseconds to converge.
Best tile sizes: (2, 512, 128) with performance: 5567 ms
