Start coordinate search:
Starting position: (1, 1, 1) with performance: 30414 ms
Neighbor size: 6
Neighbor size: 8
tile size (t1, t2, t3): (1, 16, 1) with performance: 10010 ms
Neighbor size: 8
tile size (t1, t2, t3): (1, 16, 4) with performance: 9143 ms
Neighbor size: 10
tile size (t1, t2, t3): (1, 32, 4) with performance: 8875 ms
Neighbor size: 10
tile size (t1, t2, t3): (2, 32, 4) with performance: 8809 ms
Neighbor size: 11
tile size (t1, t2, t3): (2, 128, 4) with performance: 8678 ms
Neighbor size: 11
tile size (t1, t2, t3): (2, 256, 4) with performance: 8256 ms
Neighbor size: 10
tile size (t1, t2, t3): (2, 256, 16) with performance: 8152 ms
Neighbor size: 10
tile size (t1, t2, t3): (2, 256, 32) with performance: 8115 ms
Neighbor size: 10
coordinate search took 1085021 milliseconds to converge.
Best tile sizes: (2, 256, 32) with performance: 8115 ms
Start exhaustive search:
128 16 8 9485
128 16 16 9421
128 16 32 9388
128 16 64 9288
128 16 128 9349
128 16 256 9263
128 16 512 9454
128 32 1 9823
128 32 2 8916
128 32 4 9161
128 32 8 9194
128 32 16 9076
128 32 32 8998
128 32 64 9101
128 32 128 9213
128 32 256 9232
128 32 512 9164
128 64 1 9103
128 64 2 8744
128 64 4 8885
128 64 8 9097
128 64 16 9250
128 64 32 8942
128 64 64 9292
128 64 128 8868
128 64 256 9041
128 64 512 8988
128 128 1 8757
128 128 2 8542
128 128 4 8806
128 128 8 8934
128 128 16 9206
128 128 32 8700
128 128 64 8827
128 128 128 9307
128 128 256 8822
128 128 512 9149
128 256 1 8631
128 256 2 8217
128 256 4 8107
128 256 8 8228
128 256 16 8227
128 256 32 8292
128 256 64 8339
128 256 128 8565
128 256 256 8532
128 256 512 8647
128 512 1 8477
128 512 2 8489
128 512 4 8591
128 512 8 8447
128 512 16 8576
128 512 32 8530
128 512 64 8599
128 512 128 8441
128 512 256 8751
128 512 512 8682
256 1 1 23925
256 1 2 18879
256 1 4 16377
256 1 8 15089
256 1 16 14579
256 1 32 14287
256 1 64 14059
256 1 128 13926
256 1 256 13873
256 1 512 13841
256 2 1 14083
256 2 2 12380
256 2 4 11694
256 2 8 11506
256 2 16 11201
256 2 32 11034
256 2 64 11236
256 2 128 11248
256 2 256 11016
256 2 512 11275
256 4 1 11462
256 4 2 10551
256 4 4 10239
256 4 8 10251
256 4 16 10137
256 4 32 10106
256 4 64 10097
256 4 128 10037
256 4 256 10156
256 4 512 9930
256 8 1 9927
256 8 2 9201
256 8 4 9470
256 8 8 9425
256 8 16 9302
256 8 32 9425
256 8 64 9379
256 8 128 9384
256 8 256 9333
256 8 512 9195
256 16 1 10153
256 16 2 9390
256 16 4 9413
256 16 8 9331
256 16 16 9307
256 16 32 9516
256 16 64 9430
256 16 128 9309
256 16 256 9611
256 16 512 9387
256 32 1 9414
256 32 2 8895
256 32 4 8967
256 32 8 8988
256 32 16 9390
256 32 32 9125
256 32 64 9016
256 32 128 8961
256 32 256 9026
256 32 512 9239
256 64 1 9140
256 64 2 8702
256 64 4 9143
256 64 8 8774
256 64 16 9153
256 64 32 8832
256 64 64 8968
256 64 128 8908
256 64 256 9341
256 64 512 9441
256 128 1 8890
256 128 2 8545
256 128 4 8790
256 128 8 8747
256 128 16 8694
256 128 32 8808
256 128 64 9234
256 128 128 8707
256 128 256 8873
256 128 512 9093
256 256 1 8555
256 256 2 8103
256 256 4 8036
256 256 8 8219
256 256 16 8192
256 256 32 8162
256 256 64 8270
256 256 128 8360
256 256 256 8376
256 256 512 8331
256 512 1 8554
256 512 2 8402
256 512 4 8634
256 512 8 8396
256 512 16 8469
256 512 32 8510
256 512 64 8461
256 512 128 8405
256 512 256 8594
256 512 512 8464
512 1 1 24019
512 1 2 19504
512 1 4 16391
512 1 8 15105
512 1 16 14575
512 1 32 14410
512 1 64 14113
512 1 128 13980
512 1 256 13893
512 1 512 13884
512 2 1 14191
512 2 2 12453
512 2 4 11590
512 2 8 11741
512 2 16 11146
512 2 32 11073
512 2 64 11245
512 2 128 11001
512 2 256 10976
512 2 512 11129
512 4 1 11354
512 4 2 10348
512 4 4 10223
512 4 8 10242
512 4 16 9900
512 4 32 10181
512 4 64 10014
512 4 128 10005
512 4 256 10137
512 4 512 10154
512 8 1 10031
512 8 2 9327
512 8 4 9451
512 8 8 9469
512 8 16 9450
512 8 32 9345
512 8 64 9502
512 8 128 9377
512 8 256 9377
512 8 512 9358
512 16 1 9722
512 16 2 9398
512 16 4 9727
512 16 8 9369
512 16 16 9418
512 16 32 9305
512 16 64 9406
512 16 128 9346
512 16 256 9506
